cylinders,displacement,hp,weight_lbs,acceleration,year,weight_kg,vehicle_age,miles_per_gallon
8.0,307.0,130.0,3504.0,12.0,70,1589.386368,56,18.0
8.0,350.0,165.0,3693.0,11.5,70,1675.115256,56,15.0
8.0,318.0,150.0,3436.0,11.0,70,1558.542112,56,18.0
8.0,304.0,150.0,3433.0,12.0,70,1557.1813359999999,56,16.0
4.0,302.0,140.0,3449.0,10.5,70,1564.4388079999999,56,17.0
8.0,429.0,198.0,4341.0,10.0,70,1969.042872,56,15.0
8.0,454.0,220.0,2797.5,9.0,70,1268.92362,56,14.0
8.0,440.0,215.0,4312.0,8.5,70,1955.888704,56,14.0
8.0,455.0,92.5,4425.0,10.0,70,2007.1446,56,14.0
8.0,390.0,190.0,3850.0,8.5,70,1746.3292,56,15.0
8.0,383.0,170.0,3563.0,10.0,70,1616.148296,56,15.0
8.0,340.0,160.0,3609.0,8.0,70,1637.013528,56,14.0
4.0,400.0,150.0,3761.0,9.5,70,1705.959512,56,15.0
8.0,455.0,225.0,3086.0,10.0,70,1399.784912,56,14.0
4.0,113.0,95.0,2372.0,15.0,70,1075.920224,56,24.0
6.0,198.0,95.0,2833.0,15.5,70,1285.026136,56,22.0
6.0,199.0,97.0,2774.0,15.5,70,1258.264208,56,18.0
6.0,200.0,85.0,2587.0,16.0,70,1173.442504,56,21.0
4.0,97.0,88.0,2130.0,14.5,70,966.1509599999999,56,27.0
4.0,97.0,92.5,1835.0,20.5,70,832.34132,56,26.0
4.0,110.0,87.0,2672.0,17.5,70,1211.997824,56,25.0
4.0,107.0,90.0,2430.0,14.5,70,1102.22856,56,24.0
4.0,104.0,95.0,2375.0,17.5,70,1077.281,56,25.0
4.0,121.0,113.0,2234.0,15.5,70,1013.324528,56,26.0
6.0,199.0,90.0,2648.0,15.0,70,1201.111616,56,21.0
8.0,360.0,215.0,4615.0,14.0,70,2093.32708,56,10.0
8.0,307.0,200.0,4376.0,15.0,70,1984.918592,56,10.0
8.0,318.0,210.0,4382.0,13.5,70,1987.640144,56,11.0
8.0,304.0,193.0,4732.0,18.5,70,2146.397344,56,9.0
4.0,97.0,88.0,2130.0,14.5,71,966.1509599999999,55,27.0
4.0,140.0,90.0,2264.0,15.5,71,1026.932288,55,28.0
4.0,113.0,95.0,2228.0,14.0,71,1010.602976,55,25.0
4.0,98.0,92.5,2046.0,19.0,71,928.049232,55,25.0
6.0,232.0,100.0,2634.0,13.0,71,1194.761328,55,19.0
6.0,225.0,105.0,3439.0,15.5,71,1559.902888,55,16.0
6.0,250.0,100.0,3329.0,15.5,71,1510.007768,55,17.0
6.0,250.0,88.0,3302.0,15.5,71,1497.760784,55,19.0
6.0,232.0,100.0,3288.0,15.5,71,1491.410496,55,18.0
8.0,350.0,165.0,4209.0,12.0,71,1909.1687279999999,55,14.0
8.0,400.0,175.0,4464.0,11.5,71,2024.834688,55,14.0
8.0,351.0,153.0,4154.0,13.5,71,1884.221168,55,14.0
8.0,318.0,150.0,4096.0,13.0,71,1857.912832,55,14.0
8.0,383.0,180.0,4955.0,11.5,71,2247.54836,55,12.0
8.0,400.0,170.0,4746.0,12.0,71,2152.747632,55,13.0
8.0,400.0,175.0,5140.0,12.0,71,2331.46288,55,13.0
6.0,258.0,110.0,2962.0,13.5,71,1343.539504,55,18.0
4.0,140.0,72.0,2408.0,19.0,71,1092.249536,55,22.0
6.0,250.0,100.0,3282.0,15.0,71,1488.688944,55,19.0
6.0,250.0,88.0,3139.0,14.5,71,1423.825288,55,18.0
4.0,122.0,86.0,2220.0,14.0,71,1006.97424,55,23.0
4.0,116.0,90.0,2123.0,14.0,71,962.975816,55,28.0
4.0,79.0,70.0,2074.0,19.5,71,940.749808,55,30.0
4.0,88.0,76.0,2065.0,14.5,71,936.66748,55,30.0
4.0,71.0,65.0,1773.0,19.0,71,804.218616,55,31.0
4.0,72.0,69.0,1613.0,18.0,71,731.643896,55,35.0
4.0,97.0,60.0,1834.0,19.0,71,831.887728,55,27.0
4.0,91.0,70.0,1955.0,20.5,71,886.7723599999999,55,26.0
4.0,113.0,95.0,2278.0,15.5,72,1033.282576,54,24.0
4.0,97.5,80.0,2126.0,17.0,72,964.336592,54,25.0
4.0,97.0,54.0,2254.0,23.5,72,1022.3963679999999,54,23.0
4.0,140.0,90.0,2408.0,19.5,72,1092.249536,54,20.0
4.0,122.0,86.0,2226.0,16.5,72,1009.695792,54,21.0
8.0,350.0,165.0,4274.0,12.0,72,1938.652208,54,13.0
8.0,400.0,175.0,4385.0,12.0,72,1989.00092,54,14.0
8.0,318.0,150.0,4135.0,13.5,72,1875.60292,54,15.0
8.0,351.0,153.0,4129.0,13.0,72,1872.881368,54,14.0
8.0,304.0,150.0,3672.0,11.5,72,1665.589824,54,17.0
8.0,429.0,208.0,4633.0,11.0,72,2101.491736,54,11.0
8.0,350.0,155.0,4502.0,13.5,72,2042.071184,54,13.0
8.0,350.0,160.0,4456.0,13.5,72,2021.205952,54,12.0
8.0,400.0,190.0,4422.0,12.5,72,2005.7838239999999,54,13.0
3.0,70.0,97.0,2330.0,13.5,72,1056.86936,54,19.0
8.0,304.0,150.0,3892.0,12.5,72,1765.380064,54,15.0
8.0,307.0,130.0,4098.0,14.0,72,1858.820016,54,13.0
8.0,302.0,140.0,4294.0,16.0,72,1947.724048,54,13.0
8.0,318.0,150.0,4077.0,14.0,72,1849.294584,54,14.0
