sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_0,gender_1
1,2.265997024064256,1,-1.6522931670221639,2,-1.3285177619059423,1,58.8,-0.20029169564983498,False,True
2,0.898787515815523,2,1.3468451578751413,2,0.9783320427076524,0,66.28,-0.9518389491566408,False,True
3,1.3414433238697909e-15,0,-0.7285339293741234,0,0.13614878070586386,0,57.8,-0.41501948236606523,False,True
5,0.3883770206287424,1,0.7032928889803387,0,1.7326353121527325,0,55.5,1.4638486514009492,False,True
8,-0.6475512571287813,2,-0.4206141834914433,2,-0.44971783633885865,0,62.14,-0.39354670369444217,False,True
9,0.9710866768673504,1,0.503145054156597,0,1.33278134601971,0,61.29,-0.6190108797464839,False,True
11,1.3414433238697909e-15,1,-1.3443734211394838,0,-0.8158844719918101,1,60.85,-0.30765558900795015,False,True
12,-0.17275079648991531,1,1.473092253687039,0,-0.9623511262529908,0,63.7,-0.41501948236606523,False,True
14,1.834360241665287,1,-1.4983332940808238,0,-0.3764845092082683,0,68.63,-0.7585839411120335,True,False
16,0.539449894468382,1,0.041265435332576865,0,-0.08355120068590706,0,64.66,-0.9518389491566408,True,False
17,-0.41015102680934823,1,-0.48219813266798023,0,-0.9623511262529908,0,62.54,0.12179998442451034,False,True
20,-0.3238236703295549,0,-2.400482215405744e-16,0,-1.6595324005362107,0,77.89,-0.5653289330674264,False,True
21,-0.5396420615290392,1,-0.4206141834914433,0,-1.6946843975588939,1,56.7,-0.2539736423288926,False,True
22,0.6473590900681241,1,2.5046234023940177,0,1.60081532331767,0,69.06,1.120284192654981,True,False
23,-0.9928606830479563,2,0.5385558249331059,2,-1.2897040985267294,1,68.81,0.7659833445732009,True,False
24,-1.0791880395277498,2,-0.6146036233975326,2,1.3811153419258992,0,63.62,0.12179998442451034,True,False
25,2.9889886345825287,2,1.55930978253419,2,1.7765753084310874,0,74.01,0.7659833445732009,False,True
27,0.9710866768673504,1,-0.4206141834914433,0,1.5275819961870798,0,57.55,-0.5223833757241804,False,True
28,-0.3238236703295549,1,-0.4206141834914433,0,-0.3764845092082683,1,57.69,-0.2539736423288926,False,True
29,0.7013136878679952,1,-0.18967437407943324,0,0.015313790940389435,0,64.15,0.6586194512150859,False,True
31,0.37758610106876883,1,0.6571049270979371,0,-1.5482177432977131,1,56.7,-0.41501948236606523,True,False
33,1.1869050680668347,1,-0.35903023431490644,0,-1.6295067364126683,1,62.21,-0.1144005809633429,True,False
34,-0.5396420615290392,2,1.8887839106286577,0,1.088182033403538,0,72.78,-0.30765558900795015,True,False
36,0.8631774812676082,1,0.503145054156597,0,-0.15678452781649738,1,62.74,0.12179998442451034,True,False
38,0.6473590900681241,2,-0.48219813266798023,2,-1.1088177805141712,1,55.47,0.33652777114074056,True,False
